UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Glenn Sullivan,@sullyoke,2021-02-14T16:48:59.000Z,"♫Love Bug Itch with Ernest Tubb and Minnie Pear by Red Foley, from #SoundHound","Love Bug Itch with Ernest Tubb and Minnie Pear
♫ by Red Foley, discovered with SoundHound
bnc.lt",,,,,['https://pbs.twimg.com/card_img/1366632747356332035/-zTrWFRf?format=jpg&name=240x240'],https://twitter.com/sullyoke/status/1360994457332629505
SoundHound,@SoundHound,2021-02-23T21:57:27.000Z,"Replying to 
@MattCastelein",Thank you for letting us know! We are aware of this issue and are working on fixing it right away.,,,,,[],https://twitter.com/SoundHound/status/1364333575164821507
SoundHound Support,@SoundHoundHelps,2021-02-25T15:21:22.000Z,"Replying to 
@rafthemaster","We're sorry to hear that's happening. Please try reinstalling the app, and let us know if that resolves the issue.",,,,,[],https://twitter.com/SoundHoundHelps/status/1364958674914062339
Jonathan Bauer,@Jonbauer1980,2021-02-26T22:02:50.000Z,"@SoundHound
 when are you going to fix the playlist issue with Apple Music ?",,,,,,[],https://twitter.com/Jonbauer1980/status/1365422095589666817
SoundHound,@SoundHound,2021-02-26T14:51:52.000Z,"Replying to 
@djoutrage",We are aware of this issue and are working to correct it as soon as possible. We appreciate your patience in this matter.,,,,,[],https://twitter.com/SoundHound/status/1365313640547692545
Keith Douglas,@keith_douglas,2021-02-27T19:31:20.000Z,".
@SoundHound
 Every other update, I get shit like this from your app. AND YES - I AM USING THE PAID VERSION!
My other favorite error is ""No Internet Connection."" ""Turn the volume up."" I am at -7.0dB on a RX-A3080 Yamaha into 2 channels. My wood floors are vibrating.",,,,,,['https://pbs.twimg.com/media/EvQbEkWXcAcyy9N?format=jpg&name=small'],https://twitter.com/keith_douglas/status/1365746357676441606
Dan Berger,@danberger,2021-02-28T21:06:14.000Z,"@SoundHound
 hi! did you know that tracks ID's from the Apple Watch don't automatically get added to the linked Spotify list? Feature or bug?",,,,,,[],https://twitter.com/danberger/status/1366132629246906370
Mary Ergul,@MaryErgul,2021-03-03T21:09:03.000Z,"Replying to 
@floppywriter","I love SoundHound and use constantly to identify cool music 

Vivino for keeping track of wines I like or don’t 

GroupMe for talking to my bug group of college girlfriends",,,,1,[],https://twitter.com/MaryErgul/status/1367220498610929665
